bookID,title,authors,average_rating,isbn,isbn13,language_code,# num_pages,ratings_count,text_reviews_count,
1526,Aeschylus  1: The Oresteia: Agamemnon/The Libation Bearers/The Eumenides,by Aeschylus-David R. Slavitt-Smith Palmer Bovie,4.01,081221627X,9.78081E+12,eng,178,12,3,
1527,The Complete Greek Tragedies  Volume 1: Aeschylus,by Aeschylus-Richmond Lattimore-David Grene,4.11,226307646,9.78023E+12,eng,358,75,7,
1529,Aeschylus: The Oresteia (A Student Guide: Landmarks of World Literature),by Simon Goldhill,4.03,521539811,9.78052E+12,eng,95,28,3,
1530,The Oresteia: Agamemnon  Choephoroe & Eumenides (Everyman's Library  No. 260),by Aeschylus-George Thomson-Richard Seaford,4.01,1400041929,9.7814E+12,eng,127,61,7,
1531,Aeschylus 2: The Persians/Seven Against Thebes/The Suppliants/Prometheus Bound,by Aeschylus-David R. Slavitt-Smith Palmer Bovie,4.1,812216717,9.78081E+12,en-GB,232,12,2,
1532,The Oresteia Trilogy: Agamemnon/The Libation-Bearers/The Furies,by Aeschylus-E.D.A. Morshead,4.01,486292428,9.78049E+12,eng,151,87,8,
1533,The Suppliant Maidens/The Persians/Seven against Thebes/Prometheus Bound,by Aeschylus-E.D.A. Morshead,4.1,1419150014,9.78142E+12,eng,208,1,0,
1536,Sophocles II: Ajax/Women of Trachis/Electra/Philoctetes (Complete Greek Tragedies 4),by Sophocles-David Grene-Richmond Lattimore-John Moore-Michael Jameson,4.14,226307867,9.78023E+12,eng,254,4952,34,
1537,The Oedipus Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,by Sophocles-Paul Roche,3.97,452011671,9.78045E+12,eng,288,529,45,
1538,The Complete Plays,by Sophocles-Paul Roche,4.27,451527844,9.78045E+12,eng,420,2856,37,
1540,The Oedipus Cycle: Oedipus Rex  Oedipus at Colonus  Antigone,by Sophocles-Robert Fitzgerald-Dudley Fitts,3.97,015602764X,9.78016E+12,eng,259,44470,672,
1542,The Three Theban Plays: Antigone  Oedipus the King  Oedipus at Colonus,by Sophocles-Robert Fagles-Bernard Knox,3.97,140444254,9.78014E+12,eng,430,2825,271,
1543,Ajax/Electra/Oedipus Tyrannus,by Sophocles-Hugh Lloyd-Jones,4.49,674995570,9.78067E+12,eng,496,104,7,
1546,Theban Plays,by Sophocles-Peter Meineck-Paul Woodruff,3.97,872205851,9.78087E+12,en-US,304,102,7,
1547,The Theban Plays (Everyman's Library  #93),by Sophocles-David Grene-Charles Segal,3.97,679431322,9.78068E+12,en-US,223,53,3,
1548,Electra and Other Plays,by Sophocles-E.F. Watling,4.14,140440283,9.78014E+12,eng,218,132,9,
1549,Antigone / Oedipus the King / Electra,by Sophocles-Edith Hall-H.D.F. Kitto,3.94,192835882,9.78019E+12,eng,178,13060,183,
1554,Oedipus Rex  (The Theban Plays  #1),by Sophocles-J.E. Thomas,3.69,1580495931,9.78158E+12,eng,75,134960,1646,
1555,The Oedipus Plays of Sophocles,by Sophocles-Paul Roche,3.97,451621603,9.78045E+12,eng,390,8,1,
1558,Oedipus Rex (Greek and Latin Classics),by Sophocles-Roger D. Dawe,3.69,521617359,9.78052E+12,grc,214,209,1,
1559,Oedipus the King,by Sophocles-Bernard Knox-Cynthia Brantley Johnson,3.69,1416500332,9.78142E+12,eng,144,706,49,
1560,Four Plays: The Clouds/The Birds/Lysistrata/The Frogs,by Aristophanes-William Arrowsmith-Richmond Lattimore-Douglass Parker,4.06,452007178,9.78045E+12,eng,624,5986,78,
1561,Three Plays by Aristophanes: Lysistrata/Women at the Thesmophoria/Assemblywomen,by Aristophanes-Jeffrey Henderson,3.92,415907446,9.78042E+12,eng,256,93,6,
1562,The Complete Plays,by Aristophanes-Moses Hadas,4.21,553213431,9.78055E+12,eng,577,1954,32,
1563,Aristophanes 1: The Acharnians/Peace/Celebrating Ladies/Wealth,by Aristophanes-David R. Slavitt,3.83,812234561,9.78081E+12,eng,322,4,0,
1566,Clouds/Wasps/Birds (Aristophanes 1),by Aristophanes-Peter Meineck,3.76,872203611,9.78087E+12,eng,480,1,0,
1567,Lysistrata and Other Plays,by Aristophanes-Alan H. Sommerstein,3.96,140448144,9.78014E+12,en-US,241,3723,113,
1568,Acharnians,by Aristophanes-Jeffrey Henderson,3.42,1585100870,9.78159E+12,eng,96,23,2,
1571,Clouds,by Aristophanes-Kenneth James Dover,3.76,199120099,9.7802E+12,eng,254,13,2,
1572,Clouds/Wasps/Peace,by Aristophanes-Jeffrey Henderson,4.12,674995376,9.78067E+12,grc,624,68,10,
1573,The Birds and Other Plays,by Aristophanes-David B. Barrett-Alan H. Sommerstein,4.13,140449515,9.78014E+12,eng,336,1241,17,
